사차, 189, 96
차아, 168, 56
카가, 155, 74
바카, 154, 92
마자, 152, 68
타나, 173, 85
마하, 161, 55
마자, 184, 85
바라, 175, 61
라타, 161, 87
바자, 198, 54
마나, 193, 70
다자, 192, 50
다나, 155, 55
바하, 161, 64
사나, 167, 71
라가, 174, 79
사다, 172, 74
가하, 151, 58
가하, 175, 72
하가, 192, 86
가하, 173, 81
마아, 177, 72
하카, 174, 52
차가, 183, 67
타가, 191, 75
바가, 175, 87
사가, 177, 67
사아, 180, 77
자자, 157, 83
자아, 167, 95
나아, 167, 84
다자, 174, 62
카자, 154, 85
카다, 181, 68
파하, 164, 80
카아, 195, 55
가카, 166, 63
사나, 183, 93
하하, 188, 57
다나, 187, 84
다마, 198, 53
차차, 153, 70
카하, 178, 62
카자, 182, 98
타마, 187, 82
바카, 178, 87
다라, 158, 71
가바, 191, 73
바타, 187, 58
라사, 165, 72
파나, 187, 77
바차, 154, 80
타바, 188, 78
다하, 197, 55
타파, 168, 93
카마, 151, 89
자자, 170, 65
자타, 173, 57
하타, 164, 70
카라, 171, 68
라사, 193, 78
라사, 170, 50
카파, 162, 62
차마, 175, 64
아라, 158, 65
라가, 196, 80
마파, 195, 86
자자, 190, 56
카타, 165, 82
카아, 166, 60
마가, 168, 70
카가, 162, 85
바라, 173, 63
하자, 198, 70
바마, 182, 63
파하, 151, 57
나다, 150, 83
라아, 192, 90
아나, 168, 51
하바, 175, 82
바타, 173, 66
파나, 176, 74
차바, 177, 72
자마, 169, 99
타사, 163, 57
차가, 180, 68
사하, 193, 95
타타, 180, 92
차나, 151, 96
바파, 196, 56
가아, 175, 57
카가, 177, 69
타가, 170, 72
아가, 157, 72
차차, 175, 69
사차, 153, 95
파카, 195, 52
가나, 175, 64
타파, 196, 52
가아, 151, 94
라다, 170, 74
바나, 182, 51
라라, 170, 91
파카, 156, 86
차바, 183, 80
다차, 172, 97
자사, 155, 87
하다, 156, 52
하자, 178, 99
자아, 194, 94
나사, 181, 52
파자, 188, 95
아하, 176, 59
가나, 187, 73
가가, 166, 88
카바, 195, 66
다나, 186, 63
다차, 151, 58
파마, 180, 67
나파, 176, 67
아가, 173, 82
사다, 193, 64
자하, 158, 91
가바, 172, 58
파나, 152, 98
자바, 158, 72
다마, 160, 52
사사, 195, 91
라다, 184, 93
타파, 199, 86
파나, 153, 99
차타, 157, 94
아사, 194, 50
카라, 168, 99
마아, 181, 92
아자, 154, 76
바하, 171, 78
라사, 177, 50
카라, 178, 69
가파, 187, 70
자하, 172, 86
바다, 186, 64
라마, 187, 58
아라, 193, 76
카바, 161, 58
파라, 173, 84
나마, 172, 99
바아, 190, 78
다파, 199, 80
아아, 192, 86
마자, 157, 72
차나, 194, 91
타사, 157, 61
나카, 150, 86
바카, 164, 95
바다, 156, 79
아가, 154, 61
타바, 150, 55
다나, 189, 99
나사, 199, 81
바하, 189, 95
카파, 174, 55
차다, 179, 72
파다, 168, 99
마자, 189, 94
다하, 182, 96
아다, 168, 57
하가, 150, 83
카사, 150, 94
바가, 185, 71
라자, 197, 76
자라, 191, 85
다라, 159, 98
자카, 165, 54
타차, 167, 55
라타, 185, 82
하하, 182, 55
사가, 172, 73
아아, 192, 76
차라, 152, 76
아마, 177, 58
타라, 164, 81
사라, 189, 84
바라, 184, 84
차마, 175, 75
차마, 180, 58
차아, 187, 73
파나, 153, 86
가카, 197, 59
마가, 170, 92
가파, 179, 75
마바, 178, 68
타차, 172, 60
타파, 194, 86
다나, 157, 75
타카, 192, 52
자라, 160, 83
자아, 175, 92
나차, 175, 79
차차, 154, 67
자파, 160, 99
라사, 199, 56
아라, 161, 86
바나, 153, 71
아가, 155, 97
차카, 170, 78
라가, 162, 93
파다, 180, 73
다마, 186, 98
마파, 183, 69
자하, 164, 74
가타, 188, 91
차라, 180, 52
차바, 158, 79
라마, 180, 96
사마, 164, 86
카마, 175, 85
하하, 176, 57
마다, 175, 79
파하, 183, 66
파하, 190, 79
바하, 194, 62
가하, 164, 68
타나, 151, 87
파사, 170, 68
하파, 183, 98
라가, 186, 80
차파, 178, 87
다라, 191, 97
파카, 168, 51
자가, 157, 65
사마, 179, 97
하바, 195, 57
하타, 198, 97
자바, 179, 81
사자, 193, 91
카사, 165, 57
차카, 159, 98
가카, 199, 94
카마, 172, 83
파아, 181, 69
차가, 169, 82
파사, 162, 62
사카, 197, 63
가가, 160, 56
바라, 151, 55
나가, 154, 62
사차, 191, 92
나라, 183, 66
차나, 174, 77
파아, 164, 70
차바, 186, 94
다차, 176, 89
파다, 166, 94
마가, 189, 57
하아, 189, 80
타나, 168, 81
마차, 153, 59
카나, 159, 88
나아, 195, 90
바차, 163, 67
타가, 151, 86
자아, 176, 94
자아, 162, 58
파마, 164, 77
차가, 168, 61
자다, 171, 58
라파, 173, 84
다아, 195, 99
자아, 153, 59
나타, 161, 93
차사, 163, 59
차사, 150, 52
타마, 155, 95
라차, 189, 56
다다, 199, 97
카라, 152, 91
자타, 160, 77
나라, 171, 81
마나, 151, 53
바차, 188, 80
사하, 189, 96
자마, 188, 75
다바, 189, 59
라나, 168, 50
라자, 179, 63
자가, 173, 93
타다, 165, 97
나바, 182, 55
가라, 169, 63
바파, 154, 92
하차, 179, 64
하가, 181, 61
타마, 163, 68
타바, 191, 54
파바, 150, 62
가마, 187, 96
다자, 181, 69
사라, 151, 69
파라, 177, 69
자사, 168, 73
사나, 155, 80
라타, 154, 92
자카, 168, 61
타바, 169, 52
차바, 164, 76
카타, 163, 68
다나, 176, 50
파사, 151, 98
타자, 190, 88
사하, 170, 98
하가, 172, 90
라나, 192, 50
아가, 195, 57
파자, 178, 73
다사, 162, 68
마다, 171, 72
카가, 157, 56
마사, 155, 86
하사, 182, 72
가사, 155, 62
파다, 159, 96
차카, 165, 94
라자, 164, 68
바타, 151, 91
나아, 178, 91
사마, 174, 95
타아, 185, 60
가차, 164, 56
타파, 185, 70
아타, 194, 88
마라, 176, 50
다파, 173, 89
나바, 154, 81
자마, 163, 97
다하, 193, 81
하차, 150, 86
자다, 188, 81
나나, 166, 84
나사, 158, 63
바카, 157, 88
타바, 159, 80
마타, 156, 97
하라, 172, 94
파사, 188, 75
다아, 187, 93
다차, 174, 53
타파, 179, 54
카타, 199, 73
자다, 171, 67
카타, 165, 89
바나, 150, 74
사라, 171, 87
바가, 163, 78
타하, 191, 77
파바, 161, 73
하다, 178, 60
라하, 171, 51
나사, 155, 88
바파, 193, 97
마하, 175, 87
자바, 152, 87
나마, 172, 54
파카, 192, 59
다자, 163, 77
나나, 189, 81
아파, 183, 75
다아, 188, 85
나사, 190, 54
파마, 156, 51
바사, 173, 59
가아, 182, 92
자파, 193, 94
사카, 168, 58
아타, 152, 66
나카, 167, 88
사타, 197, 63
다차, 182, 67
파파, 167, 81
하바, 174, 90
타바, 180, 96
바카, 167, 95
파다, 171, 67
사라, 192, 95
사다, 196, 60
